"","crace.WBH","cage.cat","cedu.cat","cfemale","cstate",".freq","cfreq.state","cpercent.state","cregion"
"63",1,3,4,1,"AK",840,21222,0.0395815670490265,"west"
"64",1,4,4,1,"AK",126,21222,0.00593723496422172,"west"
"65",2,1,1,1,"AK",6,21222,0.000282725464785472,"west"
"66",2,2,1,1,"AK",5,21222,0.000235604558838531,"west"
"67",2,3,1,1,"AK",7,21222,0.000329846399836242,"west"
"68",2,4,1,1,"AK",8,21222,0.000376967305783182,"west"
"69",2,1,2,1,"AK",39,21222,0.00183771562296897,"west"
"70",2,2,2,1,"AK",25,21222,0.00117802282329649,"west"
"71",2,3,2,1,"AK",7,21222,0.000329846399836242,"west"
"72",2,4,2,1,"AK",4,21222,0.000188483652891591,"west"
"73",2,1,3,1,"AK",33,21222,0.00155499007087201,"west"
"74",2,2,3,1,"AK",62,21222,0.00292149651795626,"west"
"75",2,3,3,1,"AK",26,21222,0.00122514367103577,"west"
"76",2,4,3,1,"AK",1,21222,4.71209132228978e-05,"west"
"77",2,1,4,1,"AK",7,21222,0.000329846399836242,"west"
"78",2,2,4,1,"AK",14,21222,0.000659692799672484,"west"
"79",2,3,4,1,"AK",17,21222,0.000801055517513305,"west"
"80",2,4,4,1,"AK",1,21222,4.71209132228978e-05,"west"
"81",3,1,1,1,"AK",20,21222,0.000942418235354125,"west"
"82",3,2,1,1,"AK",8,21222,0.000376967305783182,"west"
"83",3,3,1,1,"AK",12,21222,0.000565450929570943,"west"
"84",3,4,1,1,"AK",4,21222,0.000188483652891591,"west"
"85",3,1,2,1,"AK",27,21222,0.00127226463519037,"west"
"86",3,2,2,1,"AK",26,21222,0.00122514367103577,"west"
"87",3,3,2,1,"AK",13,21222,0.000612571835517883,"west"
"88",3,4,2,1,"AK",0,21222,0,"west"
"89",3,1,3,1,"AK",35,21222,0.00164923188276589,"west"
"90",3,2,3,1,"AK",43,21222,0.00202619913034141,"west"
"91",3,3,3,1,"AK",20,21222,0.000942418235354125,"west"
"92",3,4,3,1,"AK",2,21222,9.42418264457956e-05,"west"
"93",3,1,4,1,"AK",9,21222,0.000424088211730123,"west"
"94",3,2,4,1,"AK",25,21222,0.00117802282329649,"west"
"95",3,3,4,1,"AK",16,21222,0.000753934611566365,"west"
"96",3,4,4,1,"AK",2,21222,9.42418264457956e-05,"west"
"97",1,1,1,0,"AL",2896,163670,0.0176941398531199,"south"
"98",1,2,1,0,"AL",3299,163670,0.0201564114540815,"south"
"99",1,3,1,0,"AL",4012,163670,0.0245127398520708,"south"
"100",1,4,1,0,"AL",3809,163670,0.0232724379748106,"south"
"101",1,1,2,0,"AL",3486,163670,0.0212989561259747,"south"
"102",1,2,2,0,"AL",5835,163670,0.0356510058045387,"south"
"103",1,3,2,0,"AL",5908,163670,0.0360970236361027,"south"
"104",1,4,2,0,"AL",2641,163670,0.0161361284554005,"south"
"105",1,1,3,0,"AL",4216,163670,0.0257591493427753,"south"
"106",1,2,3,0,"AL",4817,163670,0.0294311717152596,"south"
"107",1,3,3,0,"AL",5064,163670,0.0309403073042631,"south"
"108",1,4,3,0,"AL",1741,163670,0.0106372581794858,"south"
"109",1,1,4,0,"AL",1320,163670,0.00806500855833292,"south"
"110",1,2,4,0,"AL",3692,163670,0.0225575845688581,"south"
"111",1,3,4,0,"AL",4458,163670,0.0272377338260412,"south"
"112",1,4,4,0,"AL",1658,163670,0.0101301399990916,"south"
"113",2,1,1,0,"AL",1693,163670,0.0103439847007394,"south"
"114",2,2,1,0,"AL",1361,163670,0.00831551291048527,"south"
"115",2,3,1,0,"AL",1782,163670,0.0108877616003156,"south"
"116",2,4,1,0,"AL",1483,163670,0.00906091555953026,"south"
"117",2,1,2,0,"AL",1567,163670,0.00957414321601391,"south"
"118",2,2,2,0,"AL",2120,163670,0.0129528930410743,"south"
"119",2,3,2,0,"AL",1548,163670,0.00945805571973324,"south"
"120",2,4,2,0,"AL",306,163670,0.00186961563304067,"south"
"121",2,1,3,0,"AL",1163,163670,0.00710576167330146,"south"
"122",2,2,3,0,"AL",1318,163670,0.00805278960615396,"south"
"123",2,3,3,0,"AL",1008,163670,0.00615873420611024,"south"
"124",2,4,3,0,"AL",140,163670,0.000855379737913609,"south"
"125",2,1,4,0,"AL",198,163670,0.00120975135359913,"south"
"126",2,2,4,0,"AL",454,163670,0.00277387420646846,"south"
"127",2,3,4,0,"AL",461,163670,0.00281664333306253,"south"
"128",2,4,4,0,"AL",108,163670,0.000659864337649196,"south"
"129",3,1,1,0,"AL",106,163670,0.000647644628770649,"south"
"130",3,2,1,0,"AL",74,163670,0.000452129286713898,"south"
"131",3,3,1,0,"AL",54,163670,0.000329932168824598,"south"
"132",3,4,1,0,"AL",20,163670,0.000122197103337385,"south"
"133",3,1,2,0,"AL",63,163670,0.00038492088788189,"south"
"134",3,2,2,0,"AL",61,163670,0.000372701179003343,"south"
"135",3,3,2,0,"AL",36,163670,0.000219954788917676,"south"
"136",3,4,2,0,"AL",5,163670,3.05492758343462e-05,"south"
"137",3,1,3,0,"AL",62,163670,0.000378811033442616,"south"
"138",3,2,3,0,"AL",68,163670,0.000415470160078257,"south"
"139",3,3,3,0,"AL",34,163670,0.000207735080039129,"south"
"140",3,4,3,0,"AL",3,163670,1.83295651368098e-05,"south"
"141",3,1,4,0,"AL",12,163670,7.33182605472393e-05,"south"
"142",3,2,4,0,"AL",49,163670,0.000299382896628231,"south"
"143",3,3,4,0,"AL",34,163670,0.000207735080039129,"south"
"144",3,4,4,0,"AL",10,163670,6.10985516686924e-05,"south"
"145",1,1,1,1,"AL",2248,163670,0.0137349544093013,"south"
"146",1,2,1,1,"AL",2418,163670,0.0147736296057701,"south"
"147",1,3,1,1,"AL",4172,163670,0.025490315631032,"south"
"148",1,4,1,1,"AL",6461,163670,0.0394757762551308,"south"
"149",1,1,2,1,"AL",3017,163670,0.0184334330260754,"south"
"150",1,2,2,1,"AL",5411,163670,0.0330604277551174,"south"
"151",1,3,2,1,"AL",7631,163670,0.046624306589365,"south"
"152",1,4,2,1,"AL",4578,163670,0.0279709175229073,"south"
"153",1,1,3,1,"AL",5018,163670,0.0306592527776957,"south"
"154",1,2,3,1,"AL",5590,163670,0.0341540910303593,"south"
"155",1,3,3,1,"AL",5417,163670,0.0330970846116543,"south"
"156",1,4,3,1,"AL",2184,163670,0.0133439237251878,"south"
"157",1,1,4,1,"AL",1815,163670,0.0110893873497844,"south"
"158",1,2,4,1,"AL",4066,163670,0.0248426720499992,"south"
"159",1,3,4,1,"AL",3602,163670,0.0220076981931925,"south"
"160",1,4,4,1,"AL",1341,163670,0.00819331593811512,"south"
"161",2,1,1,1,"AL",1371,163670,0.00837661139667034,"south"
"162",2,2,1,1,"AL",1374,163670,0.00839494075626135,"south"
"163",2,3,1,1,"AL",1922,163670,0.0117431413382292,"south"
"164",2,4,1,1,"AL",2455,163670,0.0149996941909194,"south"
"165",2,1,2,1,"AL",1662,163670,0.0101545797660947,"south"
"166",2,2,2,1,"AL",2287,163670,0.0139732388779521,"south"
"167",2,3,2,1,"AL",1877,163670,0.0114681981503963,"south"
"168",2,4,2,1,"AL",611,163670,0.00373312155716121,"south"
"169",2,1,3,1,"AL",1968,163670,0.0120241949334741,"south"
"170",2,2,3,1,"AL",2240,163670,0.0136860758066177,"south"
"171",2,3,3,1,"AL",1421,163670,0.00868210382759571,"south"
"172",2,4,3,1,"AL",285,163670,0.00174130871891975,"south"
"173",2,1,4,1,"AL",424,163670,0.0025905785150826,"south"
"174",2,2,4,1,"AL",847,163670,0.00517504755407572,"south"
"175",2,3,4,1,"AL",765,163670,0.00467403931543231,"south"
"176",2,4,4,1,"AL",290,163670,0.00177185796201229,"south"
"177",3,1,1,1,"AL",61,163670,0.000372701179003343,"south"
"178",3,2,1,1,"AL",36,163670,0.000219954788917676,"south"
"179",3,3,1,1,"AL",51,163670,0.000311602605506778,"south"
"180",3,4,1,1,"AL",28,163670,0.000171075938851573,"south"
"181",3,1,2,1,"AL",51,163670,0.000311602605506778,"south"
"182",3,2,2,1,"AL",61,163670,0.000372701179003343,"south"
"183",3,3,2,1,"AL",34,163670,0.000207735080039129,"south"
"184",3,4,2,1,"AL",21,163670,0.000128306957776658,"south"
"185",3,1,3,1,"AL",77,163670,0.000470458850031719,"south"
"186",3,2,3,1,"AL",87,163670,0.000531557423528284,"south"
"187",3,3,3,1,"AL",36,163670,0.000219954788917676,"south"
"188",3,4,3,1,"AL",6,163670,3.66591302736197e-05,"south"
"189",3,1,4,1,"AL",28,163670,0.000171075938851573,"south"
"190",3,2,4,1,"AL",41,163670,0.000250504061114043,"south"
"191",3,3,4,1,"AL",21,163670,0.000128306957776658,"south"
"192",3,4,4,1,"AL",10,163670,6.10985516686924e-05,"south"
"193",1,1,1,0,"AR",1608,97869,0.0164301265031099,"south"
"194",1,2,1,0,"AR",2074,97869,0.021191593259573,"south"
"195",1,3,1,0,"AR",2858,97869,0.0292023010551929,"south"
"196",1,4,1,0,"AR",3220,97869,0.0329011231660843,"south"
"197",1,1,2,0,"AR",3231,97869,0.0330135188996792,"south"
"198",1,2,2,0,"AR",4762,97869,0.04865687713027,"south"
"199",1,3,2,0,"AR",4659,97869,0.0476044490933418,"south"
"200",1,4,2,0,"AR",1949,97869,0.0199143756181002,"south"
"201",1,1,3,0,"AR",2624,97869,0.0268113501369953,"south"
"202",1,2,3,0,"AR",2893,97869,0.0295599214732647,"south"
"203",1,3,3,0,"AR",3193,97869,0.0326252430677414,"south"
"204",1,4,3,0,"AR",1161,97869,0.0118627957999706,"south"
"205",1,1,4,0,"AR",700,97869,0.00715241814032197,"south"
"206",1,2,4,0,"AR",1814,97869,0.0185349807143211,"south"
"207",1,3,4,0,"AR",2437,97869,0.0249006319791079,"south"
"208",1,4,4,0,"AR",940,97869,0.0096046756953001,"south"
"209",2,1,1,0,"AR",497,97869,0.00507821701467037,"south"
"210",2,2,1,0,"AR",461,97869,0.00471037812530994,"south"
"211",2,3,1,0,"AR",614,97869,0.00627369247376919,"south"
"212",2,4,1,0,"AR",544,97869,0.00555845070630312,"south"
"213",2,1,2,0,"AR",637,97869,0.00650870054960251,"south"
"214",2,2,2,0,"AR",791,97869,0.00808223243802786,"south"
"215",2,3,2,0,"AR",530,97869,0.00541540235280991,"south"
"216",2,4,2,0,"AR",100,97869,0.001021774020046,"south"
"217",2,1,3,0,"AR",374,97869,0.00382143468596041,"south"
"218",2,2,3,0,"AR",369,97869,0.00377034605480731,"south"
"219",2,3,3,0,"AR",284,97869,0.00290183816105127,"south"
"220",2,4,3,0,"AR",44,97869,0.00044958054786548,"south"
"221",2,1,4,0,"AR",50,97869,0.000510887010022998,"south"
"222",2,2,4,0,"AR",108,97869,0.00110351596958935,"south"
"223",2,3,4,0,"AR",164,97869,0.00167570938356221,"south"
"224",2,4,4,0,"AR",38,97869,0.000388274114811793,"south"
"225",3,1,1,0,"AR",108,97869,0.00110351596958935,"south"
"226",3,2,1,0,"AR",95,97869,0.000970685330685228,"south"
"227",3,3,1,0,"AR",51,97869,0.000521104724612087,"south"
"228",3,4,1,0,"AR",23,97869,0.00023500801762566,"south"
"229",3,1,2,0,"AR",74,97869,0.000756112742237747,"south"
"230",3,2,2,0,"AR",54,97869,0.000551757984794676,"south"
"231",3,3,2,0,"AR",33,97869,0.000337185425451025,"south"
"232",3,4,2,0,"AR",10,97869,0.000102177400549408,"south"
"233",3,1,3,0,"AR",44,97869,0.00044958054786548,"south"
"234",3,2,3,0,"AR",42,97869,0.000429145089583471,"south"
"235",3,3,3,0,"AR",28,97869,0.000286096706986427,"south"
"236",3,4,3,0,"AR",5,97869,5.1088700274704e-05,"south"
"237",3,1,4,0,"AR",2,97869,2.04354801098816e-05,"south"
"238",3,2,4,0,"AR",17,97869,0.000173701584571972,"south"
"239",3,3,4,0,"AR",15,97869,0.000153266097186133,"south"
"240",3,4,4,0,"AR",2,97869,2.04354801098816e-05,"south"
"241",1,1,1,1,"AR",1240,97869,0.0126699972897768,"south"
"242",1,2,1,1,"AR",1560,97869,0.0159396752715111,"south"
"243",1,3,1,1,"AR",2692,97869,0.0275061558932066,"south"
"244",1,4,1,1,"AR",4762,97869,0.04865687713027,"south"
"245",1,1,2,1,"AR",2760,97869,0.0282009616494179,"south"
"246",1,2,2,1,"AR",4314,97869,0.0440793298184872,"south"
"247",1,3,2,1,"AR",5541,97869,0.0566164962947369,"south"
"248",1,4,2,1,"AR",3193,97869,0.0326252430677414,"south"
"249",1,1,3,1,"AR",3112,97869,0.031797606498003,"south"
"250",1,2,3,1,"AR",3733,97869,0.0381428226828575,"south"
"251",1,3,3,1,"AR",3499,97869,0.0357518717646599,"south"
"252",1,4,3,1,"AR",1503,97869,0.0153572633862495,"south"
"253",1,1,4,1,"AR",929,97869,0.00949228089302778,"south"
"254",1,2,4,1,"AR",2126,97869,0.0217229146510363,"south"
"255",1,3,4,1,"AR",2058,97869,0.021028108894825,"south"
"256",1,4,4,1,"AR",831,97869,0.00849094241857529,"south"
"257",2,1,1,1,"AR",390,97869,0.00398491881787777,"south"
"258",2,2,1,1,"AR",445,97869,0.00454689422622323,"south"
"259",2,3,1,1,"AR",670,97869,0.00684588588774204,"south"
"260",2,4,1,1,"AR",974,97869,0.00995207857340574,"south"
"261",2,1,2,1,"AR",680,97869,0.00694806315004826,"south"
"262",2,2,2,1,"AR",848,97869,0.00866464339196682,"south"
"263",2,3,2,1,"AR",584,97869,0.00596716022118926,"south"
"264",2,4,2,1,"AR",168,97869,0.00171658035833389,"south"
"265",2,1,3,1,"AR",641,97869,0.00654957117512822,"south"
"266",2,2,3,1,"AR",629,97869,0.00642695836722851,"south"
"267",2,3,3,1,"AR",372,97869,0.00380099937319756,"south"
"268",2,4,3,1,"AR",59,97869,0.000602846674155444,"south"
"269",2,1,4,1,"AR",113,97869,0.00115460460074246,"south"
"270",2,2,4,1,"AR",249,97869,0.00254421727731824,"south"
"271",2,3,4,1,"AR",218,97869,0.00222746725194156,"south"
"272",2,4,4,1,"AR",70,97869,0.000715241825673729,"south"
"273",3,1,1,1,"AR",79,97869,0.000807201489806175,"south"
"274",3,2,1,1,"AR",69,97869,0.000705024052876979,"south"
"275",3,3,1,1,"AR",55,97869,0.000561975699383765,"south"
"276",3,4,1,1,"AR",29,97869,0.000296314450679347,"south"
"277",3,1,2,1,"AR",53,97869,0.000541540211997926,"south"
"278",3,2,2,1,"AR",73,97869,0.000745895027648658,"south"
"279",3,3,2,1,"AR",41,97869,0.000418927345890552,"south"
"280",3,4,2,1,"AR",15,97869,0.000153266097186133,"south"
"281",3,1,3,1,"AR",51,97869,0.000521104724612087,"south"
"282",3,2,3,1,"AR",33,97869,0.000337185425451025,"south"
"283",3,3,3,1,"AR",25,97869,0.000255443505011499,"south"
"284",3,4,3,1,"AR",8,97869,8.17419204395264e-05,"south"
"285",3,1,4,1,"AR",10,97869,0.000102177400549408,"south"
"286",3,2,4,1,"AR",14,97869,0.000143048353493214,"south"
"287",3,3,4,1,"AR",15,97869,0.000153266097186133,"south"
"288",3,4,4,1,"AR",5,97869,5.1088700274704e-05,"south"
"289",1,1,1,0,"AZ",2391,170060,0.0140597438439727,"west"
"290",1,2,1,0,"AZ",2070,170060,0.0121721746399999,"west"
"291",1,3,1,0,"AZ",2062,170060,0.0121251326054335,"west"
"292",1,4,1,0,"AZ",2777,170060,0.0163295306265354,"west"
"293",1,1,2,0,"AZ",3437,170060,0.0202105138450861,"west"
"294",1,2,2,0,"AZ",4832,170060,0.028413500636816,"west"
"295",1,3,2,0,"AZ",4542,170060,0.0267082210630178,"west"
"296",1,4,2,0,"AZ",3595,170060,0.0211395975202322,"west"
"297",1,1,3,0,"AZ",5073,170060,0.0298306476324797,"west"
"298",1,2,3,0,"AZ",6956,170060,0.0409032106399536,"west"
"299",1,3,3,0,"AZ",7705,170060,0.0453075394034386,"west"
"300",1,4,3,0,"AZ",3693,170060,0.0217158645391464,"west"
"301",1,1,4,0,"AZ",1736,170060,0.01020816154778,"west"
"302",1,2,4,0,"AZ",5330,170060,0.0313418805599213,"west"
"303",1,3,4,0,"AZ",7062,170060,0.0415265187621117,"west"
"304",1,4,4,0,"AZ",3678,170060,0.0216276608407497,"west"
"305",2,1,1,0,"AZ",178,170060,0.00104668946005404,"west"
"306",2,2,1,0,"AZ",120,170060,0.00070563331246376,"west"
"307",2,3,1,0,"AZ",112,170060,0.000658591103274375,"west"
"308",2,4,1,0,"AZ",101,170060,0.000593908014707267,"west"
"309",2,1,2,0,"AZ",197,170060,0.00115841464139521,"west"
"310",2,2,2,0,"AZ",272,170060,0.00159943546168506,"west"
"311",2,3,2,0,"AZ",151,170060,0.000887921894900501,"west"
"312",2,4,2,0,"AZ",54,170060,0.000317534984787926,"west"
"313",2,1,3,0,"AZ",263,170060,0.00154651293996722,"west"
"314",2,2,3,0,"AZ",363,170060,0.002134540816769,"west"
"315",2,3,3,0,"AZ",289,170060,0.00169940025079995,"west"
"316",2,4,3,0,"AZ",53,170060,0.000311654701363295,"west"
"317",2,1,4,0,"AZ",61,170060,0.000358696939656511,"west"
"318",2,2,4,0,"AZ",148,170060,0.000870281073730439,"west"
"319",2,3,4,0,"AZ",141,170060,0.000829119118861854,"west"
"320",2,4,4,0,"AZ",34,170060,0.000199929432710633,"west"
"321",3,1,1,0,"AZ",1647,170060,0.00968481693416834,"west"
"322",3,2,1,0,"AZ",1345,170060,0.00790897291153669,"west"
"323",3,3,1,0,"AZ",1092,170060,0.00642126286402345,"west"
"324",3,4,1,0,"AZ",772,170060,0.00453957449644804,"west"
"325",3,1,2,0,"AZ",1355,170060,0.00796777568757534,"west"
"326",3,2,2,0,"AZ",1202,170060,0.00706809340044856,"west"
"327",3,3,2,0,"AZ",736,170060,0.00432788440957665,"west"
"328",3,4,2,0,"AZ",201,170060,0.00118193577509373,"west"
"329",3,1,3,0,"AZ",1198,170060,0.00704457238316536,"west"
"330",3,2,3,0,"AZ",1313,170060,0.0077208043076098,"west"
"331",3,3,3,0,"AZ",823,170060,0.00483946828171611,"west"
"332",3,4,3,0,"AZ",137,170060,0.000805598043370992,"west"
"333",3,1,4,0,"AZ",200,170060,0.00117605552077293,"west"
"334",3,2,4,0,"AZ",446,170060,0.00262260367162526,"west"
"335",3,3,4,0,"AZ",337,170060,0.00198165350593626,"west"
"336",3,4,4,0,"AZ",78,170060,0.000458661641459912,"west"
"337",1,1,1,1,"AZ",1938,170060,0.0113959778100252,"west"
"338",1,2,1,1,"AZ",1741,170060,0.0102375634014606,"west"
"339",1,3,1,1,"AZ",2295,170060,0.0134952366352081,"west"
"340",1,4,1,1,"AZ",3775,170060,0.0221980474889278,"west"
"341",1,1,2,1,"AZ",3012,170060,0.0177113953977823,"west"
"342",1,2,2,1,"AZ",4406,170060,0.0259085036814213,"west"
"343",1,3,2,1,"AZ",5851,170060,0.0344055034220219,"west"
"344",1,4,2,1,"AZ",5890,170060,0.0346348360180855,"west"
"345",1,1,3,1,"AZ",5268,170060,0.030977301299572,"west"
"346",1,2,3,1,"AZ",7855,170060,0.0461895801126957,"west"
"347",1,3,3,1,"AZ",9036,170060,0.0531341880559921,"west"
"348",1,4,3,1,"AZ",4930,170060,0.0289897676557302,"west"
"349",1,1,4,1,"AZ",2231,170060,0.0131188994273543,"west"
"350",1,2,4,1,"AZ",5377,170060,0.0316182523965836,"west"
"351",1,3,4,1,"AZ",5883,170060,0.0345936715602875,"west"
"352",1,4,4,1,"AZ",2563,170060,0.0150711517781019,"west"
"353",2,1,1,1,"AZ",124,170060,0.000729154387954623,"west"
"354",2,2,1,1,"AZ",110,170060,0.000646830536425114,"west"
"355",2,3,1,1,"AZ",97,170060,0.000570386939216405,"west"
"356",2,4,1,1,"AZ",130,170060,0.000764436088502407,"west"
"357",2,1,2,1,"AZ",179,170060,0.00105256971437484,"west"
"358",2,2,2,1,"AZ",187,170060,0.00109961186535656,"west"
"359",2,3,2,1,"AZ",145,170060,0.000852640252560377,"west"
"360",2,4,2,1,"AZ",60,170060,0.00035281665623188,"west"
"361",2,1,3,1,"AZ",241,170060,0.00141714687924832,"west"
"362",2,2,3,1,"AZ",338,170060,0.00198753387667239,"west"
"363",2,3,3,1,"AZ",252,170060,0.00148182990960777,"west"
"364",2,4,3,1,"AZ",59,170060,0.000346936372807249,"west"
"365",2,1,4,1,"AZ",56,170060,0.000329295551637188,"west"
"366",2,2,4,1,"AZ",151,170060,0.000887921894900501,"west"
"367",2,3,4,1,"AZ",118,170060,0.000693872745614499,"west"
"368",2,4,4,1,"AZ",40,170060,0.000235211104154587,"west"
"369",3,1,1,1,"AZ",1308,170060,0.00769140291959047,"west"
"370",3,2,1,1,"AZ",1215,170060,0.00714453728869557,"west"
"371",3,3,1,1,"AZ",1264,170060,0.00743267079815269,"west"
"372",3,4,1,1,"AZ",997,170060,0.0058626364916563,"west"
"373",3,1,2,1,"AZ",1201,170060,0.00706221349537373,"west"
"374",3,2,2,1,"AZ",1238,170060,0.00727978348731995,"west"
"375",3,3,2,1,"AZ",909,170060,0.00534517224878073,"west"
"376",3,4,2,1,"AZ",282,170060,0.00165823823772371,"west"
"377",3,1,3,1,"AZ",1388,170060,0.00816182512789965,"west"
"378",3,2,3,1,"AZ",1497,170060,0.00880277529358864,"west"
"379",3,3,3,1,"AZ",817,170060,0.00480418698862195,"west"
"380",3,4,3,1,"AZ",137,170060,0.000805598043370992,"west"
"381",3,1,4,1,"AZ",256,170060,0.00150535104330629,"west"
"382",3,2,4,1,"AZ",529,170060,0.00311066675931215,"west"
"383",3,3,4,1,"AZ",274,170060,0.00161119608674198,"west"
"384",3,4,4,1,"AZ",52,170060,0.000305774447042495,"west"
"385",1,1,1,0,"CA",8954,994486,0.00900364574044943,"west"
"386",1,2,1,0,"CA",9697,994486,0.00975076574832201,"west"
"387",1,3,1,0,"CA",9424,994486,0.00947625190019608,"west"
"388",1,4,1,0,"CA",12298,994486,0.0123661868274212,"west"
"389",1,1,2,0,"CA",16069,994486,0.0161580964922905,"west"
"390",1,2,2,0,"CA",21508,994486,0.0216272529214621,"west"
"391",1,3,2,0,"CA",19280,994486,0.0193868987262249,"west"
"392",1,4,2,0,"CA",14159,994486,0.0142375053837895,"west"
"393",1,1,3,0,"CA",26598,994486,0.0267454739660025,"west"
"394",1,2,3,0,"CA",37053,994486,0.037258442491293,"west"
"395",1,3,3,0,"CA",41207,994486,0.0414354763925076,"west"
"396",1,4,3,0,"CA",16651,994486,0.0167433228343725,"west"
"397",1,1,4,0,"CA",12901,994486,0.0129725309088826,"west"
"398",1,2,4,0,"CA",39685,994486,0.0399050377309322,"west"
"399",1,3,4,0,"CA",48510,994486,0.0487789660692215,"west"
"400",1,4,4,0,"CA",18989,994486,0.0190942864865065,"west"
"401",2,1,1,0,"CA",2156,994486,0.00216795410960913,"west"
"402",2,2,1,0,"CA",1911,994486,0.001921595656313,"west"
"403",2,3,1,0,"CA",1575,994486,0.00158373266458511,"west"
"404",2,4,1,0,"CA",1607,994486,0.00161591009236872,"west"
"405",2,1,2,0,"CA",2700,994486,0.00271497038193047,"west"
"406",2,2,2,0,"CA",3357,994486,0.00337561313062906,"west"
"407",2,3,2,0,"CA",2166,994486,0.00217800959944725,"west"
"408",2,4,2,0,"CA",873,994486,0.000877840386237949,"west"
"409",2,1,3,0,"CA",2877,994486,0.00289295171387494,"west"
"410",2,2,3,0,"CA",4722,994486,0.00474818143993616,"west"
"411",2,3,3,0,"CA",3872,994486,0.00389346852898598,"west"
"412",2,4,3,0,"CA",918,994486,0.000923089915886521,"west"
"413",2,1,4,0,"CA",583,994486,0.000586232461500913,"west"
