"marriagedata.rownum","poll","poll.firm","poll.year","id","statenum","statename","region.cat","female","race.wbh","edu.cat","age.cat","age.cat6","age.edu.cat6","educ","age","democrat","republican","black","hispanic","weight","yes.of.opinion.holders","yes.of.all","state","state.initnum","region","no.of.all","no.of.opinion.holders"
"43","Gall2005Aug22","Gall",2005,80043,32,"north carolina",3,1,1,4,3,5,28,4,61,0,1,0,0,NA,0,0,"NC",28,"south",1,1
"44","Gall2005Aug22","Gall",2005,80044,10,"georgia",3,1,1,2,3,5,26,1,55,0,0,0,0,NA,0,0,"GA",11,"south",1,1
"45","Gall2005Aug22","Gall",2005,80045,19,"maryland",3,1,1,1,4,6,31,1,70,1,0,0,0,NA,0,0,"MD",21,"south",1,1
"46","Gall2005Aug22","Gall",2005,80046,39,"south carolina",3,0,2,4,3,4,22,3,53,0,0,1,0,NA,0,0,"SC",41,"south",1,1
"47","Gall2005Aug22","Gall",2005,80047,42,"texas",3,0,1,4,2,3,16,4,40,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"48","Gall2005Aug22","Gall",2005,80048,40,"south dakota",2,1,1,4,2,3,16,3,36,0,1,0,0,NA,0,0,"SD",42,"midwest",1,1
"49","Gall2005Aug22","Gall",2005,80049,42,"texas",3,0,1,4,3,5,28,4,57,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"50","Gall2005Aug22","Gall",2005,80050,43,"utah",4,1,1,3,1,1,3,2,21,0,0,0,0,NA,0,0,"UT",45,"west",1,1
"51","Gall2005Aug22","Gall",2005,80051,21,"michigan",2,1,1,2,3,5,26,1,60,0,0,0,0,NA,0,0,"MI",23,"midwest",1,1
"52","Gall2005Aug22","Gall",2005,80052,44,"vermont",1,0,1,4,1,2,10,4,27,1,0,0,0,NA,1,1,"VT",47,"northeast",0,0
"53","Gall2005Aug22","Gall",2005,80053,37,"pennsylvania",1,1,1,1,4,6,31,1,68,1,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"54","Gall2005Aug22","Gall",2005,80054,42,"texas",3,1,3,2,3,4,20,1,52,1,0,0,1,NA,0,0,"TX",44,"south",1,1
"55","Gall2005Aug22","Gall",2005,80055,31,"new york",1,0,1,4,3,5,28,4,57,1,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"56","Gall2005Aug22","Gall",2005,80056,9,"florida",3,0,1,2,2,3,14,1,43,0,1,0,0,NA,NA,0,"FL",10,"south",1,NA
"57","Gall2005Aug22","Gall",2005,80057,34,"ohio",2,0,1,4,2,3,16,4,39,0,1,0,0,NA,0,0,"OH",36,"midwest",1,1
"58","Gall2005Aug22","Gall",2005,80058,6,"connecticut",1,0,3,1,1,2,7,1,29,1,0,0,1,NA,0,0,"CT",7,"northeast",1,1
"59","Gall2005Aug22","Gall",2005,80059,5,"colorado",4,0,1,4,3,5,28,4,56,1,0,0,0,NA,1,1,"CO",6,"west",0,0
"60","Gall2005Aug22","Gall",2005,80060,37,"pennsylvania",1,0,1,3,2,3,15,2,35,0,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"61","Gall2005Aug22","Gall",2005,80061,37,"pennsylvania",1,0,1,4,2,3,16,4,35,0,1,0,0,NA,0,0,"PA",39,"northeast",1,1
"62","Gall2005Aug22","Gall",2005,80062,29,"new jersey",1,0,3,2,3,4,20,1,52,1,0,0,1,NA,0,0,"NJ",32,"northeast",1,1
"63","Gall2005Aug22","Gall",2005,80063,3,"arkansas",3,0,1,2,1,1,2,1,20,0,0,0,0,NA,0,0,"AR",3,"south",1,1
"64","Gall2005Aug22","Gall",2005,80064,31,"new york",1,1,1,2,2,3,14,1,38,0,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"65","Gall2005Aug22","Gall",2005,80065,42,"texas",3,1,1,3,2,2,9,2,32,1,0,0,0,NA,1,1,"TX",44,"south",0,0
"66","Gall2005Aug22","Gall",2005,80066,48,"wisconsin",2,1,1,4,3,5,28,4,64,1,0,0,0,NA,1,1,"WI",49,"midwest",0,0
"67","Gall2005Aug22","Gall",2005,80067,19,"maryland",3,1,1,2,3,5,26,2,59,0,1,0,0,NA,0,0,"MD",21,"south",1,1
"68","Gall2005Aug22","Gall",2005,80068,20,"massachusetts",1,0,1,3,3,5,27,2,57,0,1,0,0,NA,0,0,"MA",20,"northeast",1,1
"69","Gall2005Aug22","Gall",2005,80069,47,"west virginia",3,0,1,4,3,5,28,3,56,0,1,0,0,NA,0,0,"WV",50,"south",1,1
"70","Gall2005Aug22","Gall",2005,80070,3,"arkansas",3,0,1,2,3,4,20,1,50,0,0,0,0,NA,0,0,"AR",3,"south",1,1
"71","Gall2005Aug22","Gall",2005,80071,47,"west virginia",3,1,1,1,4,6,31,1,75,1,0,0,0,NA,0,0,"WV",50,"south",1,1
"72","Gall2005Aug22","Gall",2005,80072,31,"new york",1,1,1,4,3,4,22,4,51,1,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"73","Gall2005Aug22","Gall",2005,80073,31,"new york",1,0,1,4,3,4,22,3,50,0,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"74","Gall2005Aug22","Gall",2005,80074,31,"new york",1,0,NA,2,4,6,32,1,66,0,0,NA,0,NA,0,0,"NY",35,"northeast",1,1
"75","Gall2005Aug22","Gall",2005,80075,1,"alabama",3,1,2,1,4,6,31,1,68,0,0,1,0,NA,0,0,"AL",2,"south",1,1
"76","Gall2005Aug22","Gall",2005,80076,48,"wisconsin",2,0,1,1,4,6,31,1,71,0,0,0,0,NA,0,0,"WI",49,"midwest",1,1
"77","Gall2005Aug22","Gall",2005,80077,31,"new york",1,1,1,2,3,4,20,1,47,0,1,0,0,NA,1,1,"NY",35,"northeast",0,0
"78","Gall2005Aug22","Gall",2005,80078,21,"michigan",2,0,1,2,4,6,32,1,65,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"79","Gall2005Aug22","Gall",2005,80079,31,"new york",1,0,1,4,4,6,34,3,68,0,0,0,0,NA,1,1,"NY",35,"northeast",0,0
"80","Gall2005Aug22","Gall",2005,80080,37,"pennsylvania",1,0,1,4,3,5,28,4,57,1,0,0,0,NA,1,1,"PA",39,"northeast",0,0
"81","Gall2005Aug22","Gall",2005,80081,42,"texas",3,1,3,2,3,5,26,1,58,0,0,0,1,NA,0,0,"TX",44,"south",1,1
"82","Gall2005Aug22","Gall",2005,80082,3,"arkansas",3,1,1,2,4,6,32,1,65,1,0,0,0,NA,0,0,"AR",3,"south",1,1
"83","Gall2005Aug22","Gall",2005,80083,41,"tennessee",3,0,1,4,3,4,22,4,50,0,0,0,0,NA,0,0,"TN",43,"south",1,1
"84","Gall2005Aug22","Gall",2005,80084,42,"texas",3,0,1,3,3,5,27,2,57,0,1,0,0,NA,0,0,"TX",44,"south",1,1
"85","Gall2005Aug22","Gall",2005,80085,43,"utah",4,0,1,2,4,6,32,1,88,0,0,0,0,NA,0,0,"UT",45,"west",1,1
"86","Gall2005Aug22","Gall",2005,80086,21,"michigan",2,1,1,2,2,3,14,2,40,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"87","Gall2005Aug22","Gall",2005,80087,34,"ohio",2,1,1,2,3,5,26,1,64,0,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"88","Gall2005Aug22","Gall",2005,80088,21,"michigan",2,1,1,3,3,5,27,2,64,0,0,0,0,NA,0,0,"MI",23,"midwest",1,1
"89","Gall2005Aug22","Gall",2005,80089,31,"new york",1,0,1,4,4,6,34,3,70,0,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"90","Gall2005Aug22","Gall",2005,80090,12,"illinois",2,0,2,3,3,4,21,2,53,1,0,1,0,NA,1,1,"IL",15,"midwest",0,0
"91","Gall2005Aug22","Gall",2005,80091,22,"minnesota",2,1,1,4,2,2,10,4,30,1,0,0,0,NA,1,1,"MN",24,"midwest",0,0
"92","Gall2005Aug22","Gall",2005,80092,21,"michigan",2,1,1,3,4,6,33,2,68,0,0,0,0,NA,1,1,"MI",23,"midwest",0,0
"93","Gall2005Aug22","Gall",2005,80093,35,"oklahoma",3,1,1,3,3,5,27,2,55,1,0,0,0,NA,0,0,"OK",37,"south",1,1
"94","Gall2005Aug22","Gall",2005,80094,37,"pennsylvania",1,1,1,4,4,6,34,4,81,0,0,0,0,NA,1,1,"PA",39,"northeast",0,0
"95","Gall2005Aug22","Gall",2005,80095,21,"michigan",2,0,1,2,4,6,32,1,71,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"96","Gall2005Aug22","Gall",2005,80096,42,"texas",3,1,1,4,2,3,16,4,44,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"97","Gall2005Aug22","Gall",2005,80097,34,"ohio",2,1,1,2,2,3,14,1,38,0,1,0,0,NA,0,0,"OH",36,"midwest",1,1
"98","Gall2005Aug22","Gall",2005,80098,34,"ohio",2,1,1,3,3,4,21,2,48,1,0,0,0,NA,0,0,"OH",36,"midwest",1,1
"99","Gall2005Aug22","Gall",2005,80099,5,"colorado",4,0,1,4,3,5,28,4,56,0,1,0,0,NA,0,0,"CO",6,"west",1,1
"100","Gall2005Aug22","Gall",2005,80100,32,"north carolina",3,1,1,2,4,6,32,1,75,1,0,0,0,NA,0,0,"NC",28,"south",1,1
"101","Gall2005Aug22","Gall",2005,80101,37,"pennsylvania",1,0,1,3,3,5,27,2,58,0,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"102","Gall2005Aug22","Gall",2005,80102,42,"texas",3,0,1,4,3,4,22,3,46,1,0,0,0,NA,0,0,"TX",44,"south",1,1
"103","Gall2005Aug22","Gall",2005,80103,5,"colorado",4,0,1,4,4,6,34,3,70,1,0,0,0,NA,1,1,"CO",6,"west",0,0
"104","Gall2005Aug22","Gall",2005,80104,11,"idaho",4,0,1,2,1,2,8,1,28,1,0,0,0,NA,1,1,"ID",14,"west",0,0
"105","Gall2005Aug22","Gall",2005,80105,5,"colorado",4,0,3,NA,3,4,NA,99,54,0,1,0,1,NA,NA,0,"CO",6,"west",1,NA
"106","Gall2005Aug22","Gall",2005,80106,29,"new jersey",1,0,2,1,2,2,7,1,33,1,0,1,0,NA,1,1,"NJ",32,"northeast",0,0
"107","Gall2005Aug22","Gall",2005,80107,30,"new mexico",4,0,1,3,3,4,21,2,48,0,0,0,0,NA,0,0,"NM",33,"west",1,1
"108","Gall2005Aug22","Gall",2005,80108,4,"california",4,0,1,3,4,6,33,2,72,0,0,0,0,NA,0,0,"CA",5,"west",1,1
"109","Gall2005Aug22","Gall",2005,80109,4,"california",4,0,1,4,2,3,16,4,39,0,1,0,0,NA,NA,0,"CA",5,"west",1,NA
"110","Gall2005Aug22","Gall",2005,80110,12,"illinois",2,0,1,4,2,3,16,4,42,0,1,0,0,NA,0,0,"IL",15,"midwest",1,1
"111","Gall2005Aug22","Gall",2005,80111,4,"california",4,1,1,3,3,5,27,2,63,0,1,0,0,NA,0,0,"CA",5,"west",1,1
"112","Gall2005Aug22","Gall",2005,80112,2,"arizona",4,0,1,2,3,5,26,2,61,1,0,0,0,NA,0,0,"AZ",4,"west",1,1
"113","Gall2005Aug22","Gall",2005,80113,4,"california",4,1,1,3,4,6,33,2,77,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"114","Gall2005Aug22","Gall",2005,80114,2,"arizona",4,1,1,4,3,5,28,3,55,0,0,0,0,NA,1,1,"AZ",4,"west",0,0
"115","Gall2005Aug22","Gall",2005,80115,46,"washington",4,1,2,1,4,6,31,1,75,0,1,1,0,NA,0,0,"WA",48,"west",1,1
"116","Gall2005Aug22","Gall",2005,80116,46,"washington",4,1,1,2,4,6,32,1,91,0,0,0,0,NA,1,1,"WA",48,"west",0,0
"117","Gall2005Aug22","Gall",2005,80117,4,"california",4,1,1,4,2,3,16,4,38,0,1,0,0,NA,NA,0,"CA",5,"west",1,NA
"118","Gall2005Aug22","Gall",2005,80118,4,"california",4,1,1,2,4,6,32,1,70,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"119","Gall2005Aug22","Gall",2005,80119,4,"california",4,0,1,4,3,4,22,4,53,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"120","Gall2005Aug22","Gall",2005,80120,4,"california",4,1,1,2,2,3,14,1,35,0,1,0,0,NA,0,0,"CA",5,"west",1,1
"121","Gall2005Aug22","Gall",2005,80121,4,"california",4,1,1,4,4,6,34,3,77,1,0,0,0,NA,1,1,"CA",5,"west",0,0
"122","Gall2005Aug22","Gall",2005,80122,4,"california",4,0,3,4,2,3,16,3,35,1,0,0,1,NA,0,0,"CA",5,"west",1,1
"123","Gall2005Aug22","Gall",2005,80123,4,"california",4,1,1,3,3,4,21,2,49,0,1,0,0,NA,1,1,"CA",5,"west",0,0
"124","Gall2005Aug22","Gall",2005,80124,4,"california",4,0,1,4,3,4,22,3,45,0,0,0,0,NA,0,0,"CA",5,"west",1,1
"125","Gall2005Aug22","Gall",2005,80125,4,"california",4,1,1,4,2,3,16,4,35,0,1,0,0,NA,0,0,"CA",5,"west",1,1
"126","Gall2005Aug22","Gall",2005,80126,46,"washington",4,0,1,4,3,5,28,4,55,0,0,0,0,NA,1,1,"WA",48,"west",0,0
"127","Gall2005Aug22","Gall",2005,80127,4,"california",4,1,3,2,3,4,20,1,48,1,0,0,1,NA,0,0,"CA",5,"west",1,1
"128","Gall2005Aug22","Gall",2005,80128,4,"california",4,1,2,3,3,5,27,2,55,1,0,1,0,NA,0,0,"CA",5,"west",1,1
"129","Gall2005Aug22","Gall",2005,80129,46,"washington",4,1,1,4,4,6,34,4,75,0,0,0,0,NA,0,0,"WA",48,"west",1,1
"130","Gall2005Aug22","Gall",2005,80130,46,"washington",4,1,1,4,3,4,22,4,47,1,0,0,0,NA,1,1,"WA",48,"west",0,0
"131","Gall2005Aug22","Gall",2005,80131,45,"virginia",3,0,1,2,4,6,32,1,87,0,0,0,0,NA,0,0,"VA",46,"south",1,1
"132","Gall2005Aug22","Gall",2005,80132,9,"florida",3,1,2,2,1,2,8,1,29,1,0,1,0,NA,1,1,"FL",10,"south",0,0
"133","Gall2005Aug22","Gall",2005,80133,42,"texas",3,0,1,4,3,5,28,3,59,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"134","Gall2005Aug22","Gall",2005,80134,5,"colorado",4,1,1,4,1,2,10,3,27,0,1,0,0,NA,0,0,"CO",6,"west",1,1
"135","Gall2005Aug22","Gall",2005,80135,38,"rhode island",1,0,1,2,2,2,8,1,34,0,0,0,0,NA,1,1,"RI",40,"northeast",0,0
"136","Gall2005Aug22","Gall",2005,80136,23,"mississippi",3,1,1,4,3,4,22,4,49,0,1,0,0,NA,0,0,"MS",26,"south",1,1
"137","Gall2005Aug22","Gall",2005,80137,41,"tennessee",3,1,1,4,3,4,22,4,53,1,0,0,0,NA,1,1,"TN",43,"south",0,0
"138","Gall2005Aug22","Gall",2005,80138,4,"california",4,0,1,2,3,4,20,1,45,0,1,0,0,NA,1,1,"CA",5,"west",0,0
"139","Gall2005Aug22","Gall",2005,80139,30,"new mexico",4,1,1,4,2,3,16,4,43,1,0,0,0,NA,1,1,"NM",33,"west",0,0
"140","Gall2005Aug22","Gall",2005,80140,4,"california",4,1,1,2,3,4,20,1,52,1,0,0,0,NA,0,0,"CA",5,"west",1,1
"141","Gall2005Aug22","Gall",2005,80141,5,"colorado",4,0,1,4,3,4,22,3,54,0,0,0,0,NA,1,1,"CO",6,"west",0,0
"142","Gall2005Aug22","Gall",2005,80142,17,"louisiana",3,0,1,3,2,3,15,2,35,1,0,0,0,NA,0,0,"LA",19,"south",1,1
"143","Gall2005Aug22","Gall",2005,80143,1,"alabama",3,1,1,3,4,6,33,2,69,0,0,0,0,NA,0,0,"AL",2,"south",1,1
"144","Gall2005Aug22","Gall",2005,80144,35,"oklahoma",3,0,1,3,4,6,33,2,82,0,1,0,0,NA,0,0,"OK",37,"south",1,1
"145","Gall2005Aug22","Gall",2005,80145,12,"illinois",2,0,1,4,3,5,28,4,59,0,0,0,0,NA,0,0,"IL",15,"midwest",1,1
"146","Gall2005Aug22","Gall",2005,80146,21,"michigan",2,0,1,2,2,3,14,1,43,0,0,0,0,NA,0,0,"MI",23,"midwest",1,1
"147","Gall2005Aug22","Gall",2005,80147,29,"new jersey",1,1,2,2,3,4,20,1,48,1,0,1,0,NA,0,0,"NJ",32,"northeast",1,1
"148","Gall2005Aug22","Gall",2005,80148,15,"kansas",2,0,1,4,4,6,34,3,83,0,0,0,0,NA,NA,0,"KS",17,"midwest",1,NA
"149","Gall2005Aug22","Gall",2005,80149,45,"virginia",3,1,1,4,1,2,10,3,26,0,1,0,0,NA,1,1,"VA",46,"south",0,0
"150","Gall2005Aug22","Gall",2005,80150,42,"texas",3,0,3,2,2,3,14,2,42,0,1,0,1,NA,0,0,"TX",44,"south",1,1
"151","Gall2005Aug22","Gall",2005,80151,12,"illinois",2,0,1,4,3,5,28,4,64,1,0,0,0,NA,1,1,"IL",15,"midwest",0,0
"152","Gall2005Aug22","Gall",2005,80152,12,"illinois",2,0,1,4,3,4,22,3,45,1,0,0,0,NA,1,1,"IL",15,"midwest",0,0
"153","Gall2005Aug22","Gall",2005,80153,4,"california",4,0,1,4,1,2,10,4,26,0,0,0,0,NA,1,1,"CA",5,"west",0,0
"154","Gall2005Aug22","Gall",2005,80154,48,"wisconsin",2,1,1,2,2,3,14,1,40,0,1,0,0,NA,1,1,"WI",49,"midwest",0,0
"155","Gall2005Aug22","Gall",2005,80155,39,"south carolina",3,1,2,2,4,6,32,1,76,1,0,1,0,NA,0,0,"SC",41,"south",1,1
"156","Gall2005Aug22","Gall",2005,80156,42,"texas",3,1,1,4,3,4,22,3,45,0,1,0,0,NA,0,0,"TX",44,"south",1,1
"157","Gall2005Aug22","Gall",2005,80157,45,"virginia",3,0,1,4,3,5,28,4,62,0,0,0,0,NA,0,0,"VA",46,"south",1,1
"158","Gall2005Aug22","Gall",2005,80158,34,"ohio",2,0,1,3,2,3,15,2,38,1,0,0,0,NA,1,1,"OH",36,"midwest",0,0
"159","Gall2005Aug22","Gall",2005,80159,3,"arkansas",3,1,2,1,4,6,31,1,75,1,0,1,0,NA,0,0,"AR",3,"south",1,1
"160","Gall2005Aug22","Gall",2005,80160,5,"colorado",4,0,1,4,3,5,28,4,59,1,0,0,0,NA,1,1,"CO",6,"west",0,0
"161","Gall2005Aug22","Gall",2005,80161,40,"south dakota",2,1,1,2,4,6,32,1,66,1,0,0,0,NA,0,0,"SD",42,"midwest",1,1
"162","Gall2005Aug22","Gall",2005,80162,48,"wisconsin",2,1,1,3,4,6,33,2,73,0,0,0,0,NA,1,1,"WI",49,"midwest",0,0
"163","Gall2005Aug22","Gall",2005,80163,14,"iowa",2,1,1,2,4,6,32,1,81,1,0,0,0,NA,1,1,"IA",13,"midwest",0,0
"164","Gall2005Aug22","Gall",2005,80164,9,"florida",3,1,1,2,4,6,32,2,81,1,0,0,0,NA,0,0,"FL",10,"south",1,1
"165","Gall2005Aug22","Gall",2005,80165,12,"illinois",2,1,1,4,1,2,10,4,27,1,0,0,0,NA,1,1,"IL",15,"midwest",0,0
"166","Gall2005Aug22","Gall",2005,80166,36,"oregon",4,1,1,2,4,6,32,1,86,1,0,0,0,NA,1,1,"OR",38,"west",0,0
"167","Gall2005Aug22","Gall",2005,80167,15,"kansas",2,1,1,3,2,3,15,2,39,1,0,0,0,NA,0,0,"KS",17,"midwest",1,1
"168","Gall2005Aug22","Gall",2005,80168,42,"texas",3,1,1,2,1,1,2,1,24,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"169","Gall2005Aug22","Gall",2005,80169,4,"california",4,0,1,3,3,5,27,2,55,0,1,0,0,NA,1,1,"CA",5,"west",0,0
"170","Gall2005Aug22","Gall",2005,80170,42,"texas",3,1,1,4,2,3,16,4,37,1,0,0,0,NA,1,1,"TX",44,"south",0,0
"171","Gall2005Aug22","Gall",2005,80171,42,"texas",3,0,3,4,1,1,4,3,22,1,0,0,1,NA,1,1,"TX",44,"south",0,0
"172","Gall2005Aug22","Gall",2005,80172,29,"new jersey",1,0,1,4,4,6,34,4,88,1,0,0,0,NA,NA,0,"NJ",32,"northeast",1,NA
"173","Gall2005Aug22","Gall",2005,80173,22,"minnesota",2,0,1,4,2,2,10,3,34,0,0,0,0,NA,0,0,"MN",24,"midwest",1,1
"174","Gall2005Aug22","Gall",2005,80174,37,"pennsylvania",1,1,1,1,4,6,31,1,73,0,0,0,0,NA,0,0,"PA",39,"northeast",1,1
"175","Gall2005Aug22","Gall",2005,80175,9,"florida",3,0,1,3,2,3,15,2,36,0,1,0,0,NA,0,0,"FL",10,"south",1,1
"176","Gall2005Aug22","Gall",2005,80176,34,"ohio",2,0,1,4,3,5,28,3,60,0,0,0,0,NA,0,0,"OH",36,"midwest",1,1
"177","Gall2005Aug22","Gall",2005,80177,36,"oregon",4,0,1,3,4,6,33,2,85,0,0,0,0,NA,0,0,"OR",38,"west",1,1
